model,quant,mode,problem_id,run_id,duration_s,tokens,success,tool_calls,context_len,inter_token_avg_ms,inter_token_p95_ms,ttft_ms,energy_joules,energy_per_token_j,tps
gemma-3n-e2b-it,Q4_K_M,base,61,3,313.874329,189,True,0,366,1630.678041357743,3241.5681958198534,0.010967254638671875,5694.011191344776,29.96847995444619,0.602151824910791
gemma-3n-e2b-it,Q4_K_M,base,61,2,327.295656,167,False,0,366,1919.5183033034914,3723.9597797393803,0.009059906005859375,3962.049239061854,23.583626422987226,0.5102420302211405
gemma-3n-e2b-it,Q4_K_M,base,63,4,268.49698,175,False,0,439,1501.7686594616282,2961.812376976013,0.011205673217773438,6964.266596596472,39.56969657157086,0.651776418490815
gemma-3n-e2b-it,Q4_K_M,full_tool,13,4,132.635098,102,False,3,2928,1255.0992988845678,1442.288613319397,0.010967254638671875,3630.339211791754,35.246011764968486,0.7690272148025253
gemma-3n-e2b-it,Q4_K_M,full_tool,12,1,221.473929,150,True,3,2775,1440.924742363936,2131.8880319595337,0.01621246337890625,4045.4606442683476,26.791130094492367,0.6772806202395046
gemma-3n-e2b-it,Q4_K_M,full_tool,12,0,122.533072,87,False,1,2341,1361.8637025356293,2611.636936664581,0.012874603271484375,2899.097318853122,32.944287714240026,0.7100123956738797
gemma-3n-e2b-it,Q4_K_M,full_tool,10,1,103.645127,77,False,2,2343,1287.2300423108613,1913.3697390556329,0.010967254638671875,2774.9228530855175,35.57593401391689,0.7429196357683078
gemma-3n-e2b-it,Q4_K_M,full_tool,13,2,397.193124,79,False,5,4172,1291.378852725029,1825.865197181701,0.012159347534179688,2452.167414331675,30.652092679145937,0.19889568883876246
gemma-3n-e2b-it,Q4_K_M,full_tool,13,3,179.408086,131,False,3,5728,1329.0877884084528,1739.0463352203362,0.010013580322265625,4892.504113968133,37.06442510581919,0.7301789062060448
gemma-3n-e2b-it,Q4_K_M,full_tool,10,0,38.830771,31,False,1,2088,1072.6429373025894,2205.7915210723877,0.009059906005859375,852.8597091341018,26.65186591044068,0.7983359382691629
